iter	Passed	Remaining
0	2	54
1	6	54
2	10	57
3	13	52
4	16	48
5	19	45
6	22	41
7	26	39
8	29	36
9	32	32
10	35	28
11	38	25
12	42	22
13	45	19
14	48	16
15	51	12
16	54	9
17	58	6
18	61	3
19	65	0
